observation_id,run_id,scraped_at,platform,city,zone_type,address_id,address_label,latitude,longitude,store_id,store_name,product_canonical,product_raw_name,product_price,product_price_final,delivery_fee,service_fee,eta_min,eta_max,promo_present,promo_description,store_available,currency,capture_error
8a9291e761c34845b6ab3776d9a39bdd,run_20260422_200515,2026-04-22T20:06:25.997534+00:00,rappi,cdmx,peripheral,cdmx_tlahuac_01,"Av. Tláhuac 4935, Tláhuac",19.2869,-99.0109,1923475057,McDonald´s Tláhuac San Lorenzo,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,35.0,35.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
bcc3a748f300451d8f0f9234e988658d,run_20260422_200515,2026-04-22T20:06:35.472156+00:00,rappi,gdl,premium,gdl_providencia_01,"Av. Pablo Neruda 3045, Providencia",20.7045,-103.392,1923209054,McDonald's (Midtown) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
43452511459c47218800b734ce898e1f,run_20260422_200515,2026-04-22T20:06:35.472156+00:00,rappi,gdl,premium,gdl_providencia_01,"Av. Pablo Neruda 3045, Providencia",20.7045,-103.392,1923209054,McDonald's (Midtown) F,big_mac,Big Mac,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
cd84c53201f44e508b7cfd6522a1a752,run_20260422_200515,2026-04-22T20:06:35.472156+00:00,rappi,gdl,premium,gdl_providencia_01,"Av. Pablo Neruda 3045, Providencia",20.7045,-103.392,1923209054,McDonald's (Midtown) F,happy_meal,Hamburguesa,45.0,45.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
15dfd683cc7a4e799386703d0198efcc,run_20260422_200515,2026-04-22T20:06:43.021478+00:00,rappi,gdl,premium,gdl_chapalita_01,"Av. Guadalupe 1106, Chapalita",20.6683,-103.4027,1923209061,McDonald's (La Gran Plaza) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
87f7e14f755340cbad30e9fbf2aeb241,run_20260422_200515,2026-04-22T20:06:43.021478+00:00,rappi,gdl,premium,gdl_chapalita_01,"Av. Guadalupe 1106, Chapalita",20.6683,-103.4027,1923209061,McDonald's (La Gran Plaza) F,big_mac,Big Mac,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
2825115a1c1b40498609abe96693e859,run_20260422_200515,2026-04-22T20:06:43.021478+00:00,rappi,gdl,premium,gdl_chapalita_01,"Av. Guadalupe 1106, Chapalita",20.6683,-103.4027,1923209061,McDonald's (La Gran Plaza) F,happy_meal,Hamburguesa,45.0,45.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
44e699e8df864f56a1dece59d863a51c,run_20260422_200515,2026-04-22T20:06:52.898460+00:00,rappi,gdl,middle,gdl_americana_01,"Av. Vallarta 1150, Americana",20.6776,-103.3658,1923209052,McDonald's (Vallarta) F,mcnuggets_10,McNuggets de 10 Piezas,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
86d2edb68e344fae86ee8e41500c2dea,run_20260422_200515,2026-04-22T20:06:52.898460+00:00,rappi,gdl,middle,gdl_americana_01,"Av. Vallarta 1150, Americana",20.6776,-103.3658,1923209052,McDonald's (Vallarta) F,big_mac,Big Mac,100.0,100.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
5440353743b7469a958f1308e324891e,run_20260422_200515,2026-04-22T20:06:52.898460+00:00,rappi,gdl,middle,gdl_americana_01,"Av. Vallarta 1150, Americana",20.6776,-103.3658,1923209052,McDonald's (Vallarta) F,happy_meal,Hamburguesa,45.0,45.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
